0,1,2,3,4
0.02749,0.02934,0.02953,0.03088,0.04323
0.0395,0.04273,0.04512,0.04593,0.04681
0.00737,0.00918,0.0097,0.01145,0.01449
0.01657,0.03632,0.05268,0.0538,0.06521
0.04575,0.05781,0.07185,0.07775,0.08369
0.03633,0.06385,0.06701,0.06898,0.08331
0.02207,0.03833,0.04308,0.04713,0.04968
0.05657,0.0571,0.05789,0.06399,0.07353
0.08952,0.1068,0.1371,0.13966,0.15178
0.04088,0.0522,0.09557,0.11975,0.14869
0.01435,0.01677,0.03966,0.05743,0.06215
0.03971,0.04288,0.04917,0.07638,0.0842
0.017,0.02078,0.0211,0.02399,0.02615
0.06961,0.07389,0.09575,0.09897,0.1075
0.13228,0.15015,0.15475,0.16556,0.18257
0.04983,0.07026,0.09482,0.10733,0.10809
0.08952,0.1068,0.1371,0.13966,0.15178
0.00991,0.04975,0.05558,0.05973,0.06565
0.02979,0.03104,0.04317,0.04871,0.04984
0.03561,0.06259,0.06659,0.07212,0.08031
0.02092,0.02544,0.04366,0.06093,0.06225
0.04831,0.07595,0.07704,0.08139,0.09037
0.02246,0.03326,0.05095,0.06177,0.06697
0.00451,0.00492,0.00497,0.00911,0.00942
0.03406,0.05237,0.05313,0.05569,0.06094
0.00639,0.01136,0.01332,0.01614,0.01679
0.0,0.00821,0.01109,0.01675,0.03922
0.02134,0.02307,0.03228,0.03547,0.04
0.04843,0.05937,0.07355,0.07414,0.08895
0.03344,0.03585,0.08277,0.1086,0.11955
0.10775,0.13341,0.13957,0.17132,0.17276
0.07011,0.08145,0.11975,0.14425,0.14596
0.0,5e-05,5e-05,5e-05,0.00313
0.01011,0.01477,0.04983,0.0783,0.11082
0.01522,0.02238,0.05854,0.06652,0.07832
0.02059,0.02606,0.02838,0.03222,0.03448
0.02246,0.03326,0.05095,0.06177,0.06697
0.1299,0.18593,0.20915,0.22844,0.27676
0.08304,0.0932,0.1004,0.101,0.10457
0.01124,0.01532,0.02376,0.02724,0.03035
0.01006,0.01763,0.01864,0.0224,0.02632
0.04292,0.04734,0.04999,0.08895,0.10591
0.01768,0.01881,0.01985,0.02448,0.02588
0.01301,0.02343,0.02448,0.02472,0.03104
0.04088,0.07389,0.09715,0.11741,0.118
0.00737,0.00918,0.0097,0.01145,0.01449
0.08035,0.08915,0.1046,0.11389,0.11927
0.02508,0.03625,0.10663,0.11117,0.11548
0.0613,0.06536,0.06835,0.0697,0.07768
0.03971,0.04288,0.04917,0.07638,0.0842
0.07911,0.08882,0.09972,0.1128,0.11703
0.05833,0.0647,0.09786,0.10061,0.10628
0.06612,0.08503,0.1208,0.12529,0.12929
0.02914,0.05991,0.06748,0.07006,0.07314
0.00487,0.00963,0.02337,0.03809,0.05344
0.00955,0.02219,0.02415,0.02923,0.02923
0.00956,0.02598,0.07407,0.08594,0.10061
0.00963,0.01093,0.01208,0.04023,0.0428
0.02777,0.02935,0.05325,0.06679,0.09065
0.10187,0.1356,0.14035,0.16543,0.16709
0.1299,0.18593,0.20915,0.22844,0.27676
0.07084,0.18028,0.18365,0.18528,0.2321
0.01036,0.02471,0.02708,0.03581,0.04276
0.02652,0.05454,0.06271,0.06561,0.06764
0.02971,0.05346,0.0732,0.08911,0.09426
0.08191,0.08422,0.08698,0.09356,0.09362
0.0,8e-05,0.00115,0.01705,0.0235
0.01395,0.017,0.0346,0.03472,0.03786
0.0112,0.05306,0.05895,0.06261,0.07429
0.04831,0.0614,0.06501,0.08887,0.09488
0.04003,0.0608,0.06902,0.08146,0.08185
0.27002,0.29351,0.31187,0.3127,0.33406
0.00651,0.01006,0.02242,0.02396,0.02644
0.04092,0.05483,0.07911,0.09196,0.09475
0.00749,0.0127,0.01288,0.01818,0.02027
0.01093,0.01979,0.02337,0.033,0.03472
0.08893,0.09736,0.13683,0.1383,0.14585
0.01319,0.01371,0.0156,0.0169,0.02228
0.02228,0.02544,0.03027,0.05069,0.05543
0.08615,0.09062,0.10721,0.11946,0.12964
0.11318,0.14613,0.20091,0.2125,0.23755
0.02708,0.04941,0.05034,0.05336,0.05923
0.00367,0.00407,0.00902,0.01174,0.01237
0.09601,0.10043,0.10625,0.11372,0.11467
0.00487,0.01208,0.01979,0.02795,0.05105
0.0,5e-05,5e-05,0.00018,0.00337
0.02526,0.02586,0.06131,0.06257,0.07598
0.02873,0.03516,0.04004,0.04102,0.04734
0.00779,0.01067,0.01135,0.01137,0.01217
0.00648,0.00837,0.00842,0.00902,0.00985
0.04088,0.0522,0.09557,0.11975,0.14869
0.12268,0.16673,0.19774,0.22739,0.262
0.00038,0.00076,0.00203,0.00286,0.02669
0.01301,0.01881,0.02048,0.03054,0.04903
0.05483,0.06539,0.08882,0.10759,0.10838
0.06048,0.17609,0.1845,0.18754,0.24385
0.00743,0.0343,0.04037,0.04078,0.04183
0.03727,0.04864,0.11615,0.12607,0.13287
0.01068,0.01074,0.01557,0.01729,0.01844
0.06077,0.0621,0.06602,0.07099,0.08198
0.05801,0.06384,0.08241,0.08489,0.08771
0.04292,0.04313,0.05937,0.10286,0.10766
0.03013,0.05016,0.07422,0.08218,0.0843
0.27002,0.29351,0.31187,0.3127,0.33406
0.01855,0.02206,0.03071,0.0381,0.04534
0.09321,0.13456,0.13535,0.15061,0.17465
0.04067,0.05489,0.07175,0.08567,0.08696
0.00586,0.03265,0.0365,0.04113,0.04267
0.01395,0.017,0.0346,0.03472,0.03786
0.01519,0.02171,0.03953,0.04452,0.04655
0.04864,0.05899,0.09927,0.11803,0.13583
0.05201,0.08102,0.09221,0.09221,0.09273
0.0076,0.01223,0.03188,0.03657,0.03759
0.01319,0.01371,0.0156,0.0169,0.02228
0.02526,0.04449,0.05077,0.05854,0.06444
0.03903,0.04903,0.05299,0.05462,0.05959
0.01437,0.02479,0.03141,0.03903,0.05103
0.09939,0.10775,0.14813,0.17578,0.17609
0.03745,0.05076,0.06142,0.06425,0.07134
0.0239,0.03363,0.03922,0.04339,0.05275
0.05735,0.06787,0.06943,0.14381,0.14532
0.06175,0.06725,0.07203,0.07427,0.07602
0.00871,0.01244,0.01483,0.01642,0.01821
0.00788,0.00788,0.00788,0.01342,0.02049
0.01702,0.02135,0.02834,0.03104,0.03435
0.04594,0.04635,0.05244,0.05609,0.05932
0.02634,0.0403,0.04417,0.04554,0.04556
0.14617,0.16335,0.18372,0.19551,0.2012
0.04956,0.06336,0.07302,0.07754,0.09307
0.06536,0.08322,0.12569,0.13469,0.14361
0.01778,0.05281,0.05294,0.05568,0.05755
0.01712,0.06378,0.07728,0.08049,0.08293
0.00779,0.01067,0.01135,0.01137,0.01217
0.02773,0.0354,0.05826,0.07022,0.07219
0.00568,0.01081,0.01217,0.01391,0.01564
0.03673,0.0424,0.05545,0.05872,0.06856
0.01088,0.01154,0.01818,0.02284,0.02398
0.00769,0.0139,0.01721,0.01882,0.01976
0.00487,0.00963,0.02337,0.03809,0.05344
0.00038,0.00076,0.00203,0.00286,0.02669
0.14526,0.24818,0.28054,0.32238,0.37339
0.04339,0.05573,0.05609,0.06803,0.08369
0.00497,0.00737,0.00761,0.00781,0.00789
0.0277,0.06693,0.08008,0.08853,0.10791
0.03331,0.06581,0.14617,0.15307,0.15645
0.03864,0.04397,0.04878,0.06247,0.065
0.03561,0.06259,0.06659,0.07212,0.08031
0.0794,0.10202,0.11254,0.12128,0.12213
0.09286,0.11123,0.1227,0.12566,0.15087
0.02631,0.02789,0.02832,0.03177,0.03188
0.02102,0.02408,0.0406,0.06177,0.06323
0.00694,0.01488,0.0235,0.03321,0.05489
0.0076,0.01223,0.03188,0.03657,0.03759
0.01702,0.03447,0.04062,0.0453,0.04793
0.02652,0.05454,0.06271,0.06561,0.06764
0.01758,0.03015,0.03139,0.03674,0.03807
0.05317,0.06099,0.0794,0.10467,0.11437
0.0375,0.04117,0.04945,0.05531,0.06305
0.03961,0.06638,0.07456,0.0843,0.09187
0.00881,0.01342,0.01536,0.0169,0.01913
0.02834,0.04026,0.04148,0.04245,0.04371
0.0431,0.0456,0.06008,0.06069,0.07845
0.00396,0.05016,0.05936,0.05991,0.07311
0.07011,0.08145,0.11975,0.14425,0.14596
0.01522,0.02238,0.05854,0.06652,0.07832
0.01778,0.02645,0.04111,0.05091,0.0512
0.03878,0.04067,0.04277,0.05774,0.06315
0.00152,0.01311,0.02059,0.03026,0.03301
0.00955,0.01935,0.02822,0.02921,0.03929
0.00586,0.03265,0.0365,0.04113,0.04267
0.08191,0.08422,0.08698,0.09356,0.09362
0.0,0.0,0.00788,0.02953,0.03768
0.00807,0.00881,0.01181,0.01645,0.01675
0.08965,0.09261,0.10085,0.10165,0.11606
0.04092,0.05407,0.08697,0.09843,0.1025
0.0315,0.03738,0.06556,0.06987,0.06988
0.02983,0.03627,0.04267,0.04366,0.04579
0.00255,0.00622,0.00794,0.0093,0.00942
0.04627,0.04705,0.06298,0.07349,0.08051
0.07932,0.0904,0.1075,0.11311,0.12747
0.0309,0.04181,0.04631,0.07029,0.07721
0.01565,0.01573,0.02724,0.02904,0.02979
0.0,5e-05,5e-05,5e-05,0.00313
0.08191,0.08422,0.08698,0.09356,0.09362
0.03201,0.03636,0.03668,0.03756,0.03937
0.00769,0.0139,0.01721,0.01882,0.01976
0.04811,0.06875,0.07178,0.07291,0.07954
0.01011,0.01477,0.04983,0.0783,0.11082
0.01395,0.017,0.0346,0.03472,0.03786
0.04561,0.05885,0.07212,0.08228,0.08552
0.0538,0.06327,0.08184,0.11411,0.1454
0.02598,0.0398,0.0647,0.07859,0.10113
0.08952,0.1068,0.1371,0.13966,0.15178
0.00813,0.03692,0.0471,0.05176,0.05625
0.08615,0.09062,0.10721,0.11946,0.12964
0.02403,0.04181,0.05445,0.06305,0.08359
0.01565,0.01573,0.02724,0.02904,0.02979
0.03903,0.04903,0.05299,0.05462,0.05959
0.07021,0.07598,0.0847,0.09102,0.09389
0.02104,0.02338,0.02634,0.02839,0.03332
0.02983,0.03627,0.04267,0.04366,0.04579
0.0235,0.0235,0.02459,0.02839,0.04737
0.0,5e-05,5e-05,5e-05,0.00313
0.01768,0.01881,0.01985,0.02448,0.02588
0.14617,0.16335,0.18372,0.19551,0.2012
0.03562,0.06037,0.08304,0.0837,0.10757
0.00367,0.00774,0.00837,0.01512,0.01872
0.01863,0.05854,0.10056,0.10194,0.10273
0.03266,0.08727,0.09095,0.09619,0.09626
0.02513,0.04003,0.04288,0.05661,0.08742
0.00143,0.00232,0.01332,0.01882,0.02012
0.01657,0.03632,0.05268,0.0538,0.06521
0.00361,0.02935,0.0482,0.07082,0.07256
0.00985,0.01283,0.01402,0.01593,0.01645
0.04826,0.08014,0.08959,0.09057,0.092
0.00487,0.00821,0.00821,0.01133,0.04512
0.00641,0.00769,0.01679,0.01774,0.01989
0.02914,0.05991,0.06748,0.07006,0.07314
0.0,5e-05,5e-05,5e-05,0.00313
0.02522,0.0291,0.03948,0.04727,0.04991
0.02757,0.03144,0.04111,0.05568,0.05661
